x,y,t
0.0,0.0,0
9.0,62.2,0.05
17.1,108.38,1.05
24.39,140.142,2.05
30.951,158.9278,3.05
36.8559,166.03502,4.05
42.17031,162.631518,5.05
46.953279,149.7683662,6.05
51.2579511,128.39152958,7.05
55.13215599,99.352376622,8.05
58.618940391,63.41713895979999,9.05
61.7570463519,21.275425063819988,10.05
64.58134171671,-26.45211744256202,11.05
67.123207545039,-79.20690569830583,12.05
69.41088679053509,-136.48621512847527,13.05
71.46979811148158,-197.83759361562775,14.05
73.32281830033342,-262.85383425406496,15.05
74.99053647030009,-331.1684508286585,16.05
76.49148282327008,-402.4516057457927,17.05
77.84233454094307,-476.4064451712134,18.05
79.05810108684877,-552.7658006540921,19.05
80.15229097816389,-631.289220588683,20.05
81.1370618803475,-711.7602985298147,21.05
82.02335569231275,-793.9842686768333,22.05
82.82102012308147,-877.7858418091499,23.05
83.53891811077332,-963.0072576282349,24.05
84.18502629969599,-1049.5065318654115,25.05
84.7665236697264,-1137.1558786788703,26.05
85.28987130275375,-1225.8402908109833,27.05
85.76088417247837,-1315.456261729885,28.05
86.18479575523054,-1405.9106355568965,29.05
86.56631617970748,-1497.119572001207,30.05
86.90968456173674,-1589.0076148010862,31.05
87.21871610556306,-1681.5068533209776,32.05
87.49684449500675,-1774.55616798888,33.05
87.74716004550608,-1868.1005511899918,34.05
87.97244404095547,-1962.0904960709927,35.05
88.17519963685992,-2056.4814464638935,36.05
88.35767967317392,-2151.233301817504,37.05
88.52191170585652,-2246.3099716357538,38.05
88.66972053527087,-2341.678974472178,39.05
88.80274848174378,-2437.3110770249605,40.05
88.9224736335694,-2533.1799693224643,41.05
89.03022627021245,-2629.261972390218,42.05
89.12720364319121,-2725.535775151196,43.05
89.21448327887208,-2821.9821976360763,44.05
89.29303495098488,-2918.5839778724685,45.05
89.36373145588638,-3015.3255800852216,46.05
89.42735831029773,-3112.1930220766994,47.05
89.48462247926795,-3209.1737198690294,48.05
89.53616023134116,-3306.256347882126,49.05
